the|는
maker|메이커
crack|균열
principle|원리
picks|추천
vacations|휴가
gang|갱
semester|학기
calculated|계산된
fetish|주물
applies|적용됩니다
casinos|카지노
appearance|외관
smoke|연기
apache|아파치
filters|필터
incorporated|통합
craft|공예
cake|케이크
notebooks|노트북
apart|떨어져서
fellow|동료
blind|블라인드
lounge|라운지
mad|미친
algorithm|알고리즘
semi|세미
coins|동전
andy|앤디
gross|심한
strongly|강하게
cafe|카페
valentine|발렌타인
hilton|힐튼
ken|켄
proteins|단백질
horror|공포
exp|특급
familiar|익숙한
capable|유능한
douglas|더글러스
debian|데비안
till|까지
involving|관련된
pen|펜
investing|투자하다
christopher|크리스토퍼
admission|입학
epson|엡손
shoe|신발
elected|선출됨
carrying|운반
victory|승리
sand|모래
madison|매디슨
terrorism|테러
joy|기쁨
editions|에디션
cpu|CPU
mainly|주로
ethnic|민족
ran|달렸다
parliament|의회
actor|배우
finds|발견하다
seal|봉인
situations|상황
fifth|다섯번째
allocated|할당됨
citizen|시민
vertical|수직
corrections|수정
structural|구조적
municipal|지방 자치 단체
describes|설명하다
prize|상
occurs|발생하다
jon|존
absolute|절대
disabilities|장애
consists|구성되어 있다
anytime|언제든지
substance|물질
prohibited|금지된
addressed|해결됨
lies|거짓말
pipe|파이프
soldiers|군인
guardian|보호자
lecture|강의
simulation|시뮬레이션
layout|레이아웃
initiatives|이니셔티브
ill|아픈
concentration|집중
classics|고전
lay|누워
interpretation|해석
horses|말
lol|ㅋㅋㅋ
dirty|더러운
deck|갑판
wayne|웨인
donate|기부하다
taught|가르쳤다
bankruptcy|파산
worker|노동자
optimization|최적화
alive|살아있다
temple|사원
substances|물질
prove|증명하다
discovered|발견
wings|날개
breaks|휴식
genetic|유전적
restrictions|제한사항
participating|참여
waters|물
promise|약속
thin|얇은
exhibition|전시회
prefer|선호하다
ridge|능선
cabinet|캐비닛
modem|모뎀
harris|해리스
bringing|가져오는
sick|아프다
dose|복용량
evaluate|평가하다
tiffany|티파니
tropical|열대의
collect|수집하다
bet|내기
composition|구성
toyota|도요타
streets|거리
nationwide|전국적으로
vector|벡터
definitely|확실히
shaved|면도
turning|터닝
buffer|버퍼
purple|보라색
existence|존재
commentary|해설
larry|래리
limousines|리무진
developments|개발
def|데프
immigration|이민
destinations|목적지
lets|하자
mutual|상호
pipeline|파이프라인
necessarily|필연적으로
syntax|구문
attribute|속성
prison|감옥
skill|기술
chairs|의자
everyday|매일
apparently|분명히
surrounding|주변
mountains|산
moves|움직임
popularity|인기
inquiry|문의
ethernet|이더넷
checked|확인됨
exhibit|전시하다
throw|던져
trend|추세
sierra|시에라
visible|보이는
cats|고양이
desert|사막
postposted|후불
oldest|가장 오래된
rhode|로드
nba|NBA
coordinator|코디네이터
obviously|분명히
mercury|수은
steven|스티븐
handbook|수첩
greg|그렉
navigate|항해하다
worse|더 나쁜
summit|정상 회담
victims|피해자
epa|에파
spaces|공백
fundamental|근본적인
burning|불타는
escape|탈출
coupons|쿠폰
somewhat|다소
receiver|수신기
substantial|상당한
progressive|진보적인
cialis|시알리스
boats|보트
glance|한눈에
scottish|스코틀랜드 사람
championship|선수권 대회
arcade|아케이드
richmond|리치먼드
sacramento|새크라멘토
impossible|불가능하다
ron|론
russell|러셀
tells|말한다
obvious|명백한
fiber|섬유
depression|우울증
graph|그래프
covering|덮음
platinum|백금
judgment|판단
bedrooms|침실
talks|회담
filing|서류 제출
foster|위탁
modeling|모델링
passing|통과
awarded|수여
testimonials|평가
trials|시련
tissue|조직
memorabilia|기념품
clinton|클린턴
masters|석사
bonds|채권
cartridge|카트리지
alberta|앨버타
explanation|설명
folk|민속
org|조직
commons|공유지
cincinnati|신시내티
subsection|하위 섹션
fraud|사기
electricity|전기
permitted|허용됨
spectrum|스펙트럼
arrival|도착
okay|알았어
pottery|도자기
emphasis|강조
roger|로저
aspect|측면
workplace|직장
awesome|굉장해
mexican|멕시코 사람
confirmed|확인됨
counts|카운트
priced|가격이 책정된
wallpapers|배경화면
hist|역사
crash|충돌
lift|리프트
desired|원하는
inter|인터
closer|더 가까이
assumes|가정하다
heights|높이
shadow|그림자
riding|승마
infection|감염
firefox|파이어폭스
lisa|리사
expense|비용
grove|숲
eligibility|자격
venture|벤처
clinic|진료소
korean|한국어
healing|치유
princess|공주
mall|쇼핑몰
entering|입력
packet|패킷
spray|스프레이
studios|스튜디오
involvement|참여
dad|아빠
buttons|버튼
placement|배치
observations|관찰
vbulletin|vbulletin
funded|자금을 지원받은
thompson|톰슨
winners|승자
extend|연장하다
roads|도로
subsequent|후속
pat|가볍게 두드리다
dublin|더블린
rolling|롤링
fell|떨어졌다
motorcycle|오토바이
yard|마당
disclosure|공개
establishment|설립
memories|추억
nelson|넬슨
arrived|도착했다
creates|창조하다
faces|얼굴들
tourist|관광객
mayor|시장
murder|살인
sean|션
adequate|적당한
senator|상원의원
yield|수확량
presentations|프레젠테이션
grades|성적
cartoons|만화
pour|붓다
digest|다이제스트
reg|등록
lodging|숙박
tion|tion
dust|먼지
hence|따라서
wiki|위키
entirely|완전히
replaced|교체됨
radar|레이더
rescue|구출
undergraduate|학부생
losses|손실
combat|전투
reducing|감소
stopped|중지됨
occupation|직업
lakes|호수
donations|기부
associations|협회
citysearch|도시 검색
closely|밀접하게
radiation|방사선
diary|일기
seriously|진지하게
kings|왕
shooting|사격
kent|켄트
adds|추가하다
ear|귀
flags|깃발
pci|PCI
baker|빵 굽는 사람
launched|출시됨
elsewhere|다른 곳에서
pollution|오염
conservative|보수적인
guestbook|방명록
shock|충격
effectiveness|효율성
walls|벽
abroad|해외에서
ebony|흑단
tie|넥타이
ward|병동
drawn|그어진
arthur|아서
ian|이안
visited|방문했다
roof|지붕
walker|워커
demonstrate|시연하다
atmosphere|분위기
suggests|제안하다
kiss|키스
beast|짐승
operated|운영하다
experiment|실험
targets|목표
overseas|해외
purchases|구매
dodge|피하다
counsel|조언
federation|연맹
pizza|피자
invited|초대됨
yards|야드
assignment|과제
chemicals|화학물질
gordon|고든
mod|모드
farmers|농부
queries|쿼리
rush|서두르다
ukraine|우크라이나
absence|부재
nearest|가장 가까운
cluster|클러스터
vendors|공급 업체
mpeg|mpeg
whereas|반면
yoga|요가
serves|서브하다
woods|숲
surprise|놀람
lamp|램프
rico|리코
partial|부분적인
shoppers|쇼핑객
phil|필
everybody|여러분
couples|커플
nashville|내슈빌
ranking|순위
jokes|농담
ceo|CEO
simpson|심슨
twiki|트위키
sublime|숭고한
counseling|상담
palace|궁전
acceptable|받아들일 수 있는
satisfied|만족하다
glad|기쁘다
wins|승리
measurements|측정
verify|확인하다
globe|지구
trusted|신뢰할 수 있는
copper|구리
milwaukee|밀워키
rack|랙
medication|약물 치료
warehouse|창고
shareware|셰어웨어
rep|담당자
dicke|디케
kerry|케리
receipt|영수증
supposed|가정
ordinary|평범한
nobody|아무도
ghost|유령
violation|위반
configure|구성
stability|안정성
mit|미트
applying|신청
southwest|남서쪽
boss|보스
pride|자부심
institutional|제도적
expectations|기대
independence|독립
knowing|아는 것
reporter|기자
metabolism|신진 대사
keith|키스
champion|챔피언
cloudy|흐림
linda|린다
ross|로스
personally|개인적으로
chile|칠레
anna|안나
plenty|많이
solo|솔로
sentence|문장
throat|목구멍
ignore|무시하다
maria|마리아
uniform|유니폼
excellence|우수성
wealth|부
tall|키가 큰
somewhere|어딘가에
vacuum|진공
dancing|댄스
attributes|속성
recognize|인식하다
brass|황동
writes|쓴다
plaza|광장
pdas|PDA
outcomes|결과
survival|생존
quest|퀘스트
publish|출판하다
sri|스리
screening|심사
toe|발가락
thumbnail|미리보기 이미지
trans|트랜스
jonathan|조나단
whenever|언제든지
nova|신성
lifetime|평생
api|API
pioneer|개척자
booty|전리품
forgotten|잊혀진
acrobat|곡예사
plates|접시
acres|에이커
venue|장소
athletic|운동의
thermal|열
essays|에세이
behaviour|행동
vital|중요한
telling|말하기
fairly|상당히
coastal|해안
config|구성
charity|자선
intelligent|지능적인
edinburgh|에든버러
excel|엑셀
modes|모드
obligation|의무
campbell|캠벨
wake|일어나다
stupid|바보
harbor|항구
hungary|헝가리
traveler|여행자
urw|어우
segment|세그먼트
realize|깨닫다
regardless|상관없이
lan|란
enemy|적
puzzle|퍼즐
rising|상승
aluminum|알루미늄
wells|우물
wishlist|위시리스트
opens|열립니다
insight|통찰력
restricted|제한된
republican|공화당의
secrets|비밀
lucky|운이 좋은
latter|후자
merchants|상인
thick|두꺼운
trailers|예고편
repeat|반복하다
syndrome|증후군
philips|필립스
attendance|출석
penalty|페널티
drum|드럼
glasses|안경
enables|가능하게 한다
nec|nec
iraqi|이라크
builder|건축업자
vista|비스타
jessica|제시카
chips|칩
terry|테리
flood|홍수
foto|사진
ease|용이성
arguments|인수
amsterdam|암스테르담
arena|경기장
adventures|모험
pupils|학생
stewart|스튜어트
announcement|발표
tabs|탭
outcome|결과
appreciate|감사하다
expanded|확장됨
casual|캐주얼
grown|성장한
polish|폴란드어
lovely|사랑스러운
extras|엑스트라
centres|센터
jerry|제리
clause|조항
smile|미소
lands|땅
troops|군대
indoor|실내
bulgaria|불가리아
armed|무장한
broker|브로커
charger|충전기
regularly|정기적으로
believed|믿었다
pine|소나무
cooling|냉각
tend|경향
gulf|만
rick|릭
trucks|트럭
mechanisms|메커니즘
divorce|이혼
laura|로라
shopper|쇼핑객
tokyo|도쿄
partly|부분적으로
nikon|니콘
customize|사용자 정의
tradition|전통
candy|사탕
pills|알약
tiger|호랑이
donald|도널드
folks|여러분
sensor|센서
exposed|노출된
telecom|통신
hunt|사냥
angels|천사들
deputy|대리인
indicators|지표
sealed|봉인된
thai|태국어
emissions|배출
physicians|의사
loaded|로드됨
fred|프레드
complaint|불만
scenes|장면
experiments|실험
afghanistan|아프가니스탄
boost|부스트
spanking|때리기
scholarship|장학금
governance|거버넌스
mill|밀
founded|설립됨
supplements|보충제
chronic|만성
icons|아이콘
moral|도덕적인
den|굴
catering|케이터링
aud|오드
finger|손가락
keeps|유지하다
pound|파운드
locate|위치
camcorder|캠코더
trained|훈련받은
burn|화상
implementing|구현
roses|장미
labs|실험실
ourselves|우리 자신
bread|빵
tobacco|담배
wooden|나무
motors|모터
tough|힘든
roberts|로버츠
incident|사건
gonna|하려고
dynamics|역학
lie|거짓말
conversation|대화
decrease|감소하다
chest|가슴
pension|연금
billy|빌리
revenues|수익
emerging|신흥
worship|예배
capability|능력
craig|크레이그
herself|자신
producing|생산
churches|교회
precision|정밀도
damages|손해
reserves|준비금
contributed|기여하다
solve|해결하다
shorts|반바지
reproduction|재생산
minority|소수
diverse|다양한
amp|앰프
ingredients|성분
johnny|조니
sole|유일한
franchise|프랜차이즈
recorder|레코더
complaints|불만
facing|직면
nancy|낸시
promotions|프로모션
tones|톤
passion|열정
rehabilitation|재활
maintaining|유지
sight|시력
laid|누워
clay|점토
defence|방어
patches|패치
weak|약한
refund|환불
usc|usc
towns|도시
environments|환경
trembl|떨다
divided|나누어진
reception|리셉션
amd|AMD
wise|현명한
emails|이메일
cyprus|키프로스
odds|확률
correctly|정확하게
insider|내부자
seminars|세미나
consequences|결과
makers|메이커
hearts|마음
geography|지리
appearing|나타나는
integrity|무결성
worry|걱정하다
discrimination|차별
eve|이브
carter|카터
legacy|유산
marc|마크
pleased|기뻐하다
danger|위험
vitamin|비타민
widely|널리
processed|처리됨
phrase|문구
genuine|정품
raising|키우기
implications|의미
functionality|기능성
paradise|천국
hybrid|하이브리드
reads|읽다
roles|역할
intermediate|중급
emotional|감정적인
sons|아들들
leaf|잎
pad|패드
glory|영광
platforms|플랫폼
bigger|더 큰
billing|청구
diesel|디젤
versus|대
combine|결합하다
overnight|밤새
geographic|지리적
exceed|초과하다
rod|막대
saudi|사우디
fault|결점
cuba|쿠바
preliminary|예비
districts|지구
introduce|소개하다
silk|실크
promotional|프로모션
kate|케이트
chevrolet|시보레
babies|아기들
karen|카렌
compiled|컴파일된
romantic|낭만적인
revealed|밝혀졌다
specialists|전문가
generator|발전기
albert|알버트
examine|조사하다
jimmy|지미
graham|그레이엄
suspension|서스펜션
bristol|브리스톨
margaret|마가렛
compaq|컴팩
sad|슬픈
correction|교정
wolf|늑대
slowly|천천히
authentication|인증
communicate|의사소통하다
rugby|럭비
supplement|보충제
showtimes|상영 시간표
cal|칼
portions|부분
infant|유아
promoting|홍보
sectors|부문
samuel|사무엘
fluid|유동체
grounds|근거
fits|맞는다
kick|킥
regards|안부
meal|식사
hurt|상처를 입다
machinery|기계
bandwidth|대역폭
unlike|달리
equation|방정식
baskets|바구니
probability|확률
pot|냄비
dimension|차원
wright|라이트
img|img
barry|배리
proven|입증된
schedules|일정
admissions|입학
cached|캐시된
warren|워렌
slip|미끄러짐
studied|공부했다
reviewer|리뷰어
involves|포함하다
quarterly|분기별
profits|이익
devil|악마
grass|잔디
comply|준수하다
marie|마리
florist|꽃집
illustrated|일러스트
cherry|체리
continental|대륙의
alternate|대체
deutsch|독일어
achievement|성취
limitations|한계
kenya|케냐
webcam|웹캠
cuts|상처
funeral|장례식
nutten|누텐
earrings|귀걸이
enjoyed|즐겼다
automated|자동화된
chapters|장
pee|오줌
charlie|찰리
quebec|퀘벡
passenger|승객
convenient|편리하다
dennis|데니스
mars|화성
francis|프란시스
sized|크기의
manga|만화
noticed|눈치채다
socket|소켓
silent|조용한
literary|문학적
egg|계란
signals|신호
caps|모자
orientation|오리엔테이션
pill|알약
theft|도난
childhood|어린 시절
swing|그네
symbols|기호
lat|위도
meta|메타
humans|인간
analog|아날로그
facial|얼굴의
choosing|선택
talent|재능
dated|날짜가 있는
flexibility|유연성
seeker|찾는 사람
wisdom|지혜
shoot|쏘다
boundary|경계
mint|민트
packard|패커드
offset|오프셋
payday|월급날
philip|필립
elite|엘리트
spin|스핀
holders|홀더
believes|믿는다
swedish|스웨덴어
poems|시
deadline|마감일
jurisdiction|관할권
robot|로봇
displaying|표시
witness|증인
collins|콜린스
equipped|갖췄다
stages|단계
encouraged|격려
sur|쉬르
winds|바람
powder|가루
broadway|브로드웨이
acquired|획득
assess|평가하다
wash|씻다
cartridges|카트리지
stones|돌
entrance|입구
gnome|그놈
roots|뿌리
declaration|선언
losing|지는
attempts|시도
gadgets|가제트
noble|고귀한
glasgow|글래스고
automation|자동화
impacts|영향
rev|개정
gospel|복음
advantages|장점
shore|해안
loves|사랑한다
induced|유도된
knight|기사
preparing|준비 중
loose|느슨한
aims|목표
recipient|수취인
linking|연결
extensions|확장
appeals|항소
earned|획득
illness|질병
islamic|이슬람의
athletics|육상 경기
southeast|남동쪽
ieee|에에에
alternatives|대안
pending|보류 중
parker|파커
determining|결정
lebanon|레바논
corp|법인
personalized|개인화된
kennedy|케네디
conditioning|컨디셔닝
teenage|십대의
soap|비누
triple|트리플
cooper|쿠퍼
nyc|뉴욕
vincent|빈센트
jam|잼
secured|확보됨
unusual|특이한
answered|대답했다
partnerships|파트너십
destruction|파괴
slots|슬롯
increasingly|점점
migration|이주
disorder|무질서
routine|루틴
toolbar|도구 모음
basically|기본적으로
rocks|바위
conventional|기존의
titans|타이탄
applicants|지원자
wearing|입고
axis|축
sought|추구
genes|유전자
mounted|탑재
habitat|서식지
firewall|방화벽
median|중앙값
guns|총
scanner|스캐너
herein|여기서
occupational|직업적인
animated|애니메이션
judicial|사법
rio|리오
adjustment|조정
hero|영웅
integer|정수
treatments|치료법
bachelor|학사
attitude|태도
camcorders|캠코더
engaged|약혼
falling|떨어지는
basics|기본
montreal|몬트리올
carpet|카펫
struct|구조체
lenses|렌즈
binary|바이너리
genetics|유전학
attended|참석했다
difficulty|어려움
punk|펑크
collective|집단
coalition|연합
dropped|떨어졌다
enrollment|등록
duke|공작
walter|월터
pace|속도
besides|게다가
wage|임금
producers|생산자
collector|수집가
arc|호
hosts|호스트
interfaces|인터페이스
advertisers|광고주
moments|순간들
atlas|아틀라스
strings|문자열
dawn|새벽
representing|대표하는
observation|관찰
feels|느낌
torture|고문
carl|칼
deleted|삭제됨
coat|코트
mitchell|미첼
rica|리카
restoration|복원
convenience|편리함
returning|돌아오는
ralph|랄프
opposition|반대
container|컨테이너
defendant|피고인
warner|워너
confirmation|확인
app|앱
embedded|임베디드
inkjet|잉크젯
supervisor|감독자
wizard|마법사
corps|군단
actors|배우
liver|간
peripherals|주변기기
liable|책임이 있는
brochure|브로셔
morris|모리스
bestsellers|베스트셀러
petition|청원서
eminem|에미넴
recall|회상하다
antenna|안테나
picked|고른
assumed|가정
departure|출발
minneapolis|미니애폴리스
belief|믿음
killing|살해
bikini|비키니
memphis|멤피스
shoulder|어깨
decor|장식
lookup|조회
texts|텍스트
harvard|하버드
brokers|브로커
roy|로이
ion|이온
diameter|직경
ottawa|오타와
doll|인형
podcast|팟캐스트
seasons|계절
peru|페루
interactions|상호작용
refine|다듬다
bidder|입찰자
singer|가수
evans|에반스
herald|전령
literacy|읽고 쓰는 능력
fails|실패하다
aging|노화
nike|나이키
intervention|개입
fed|먹이를 주다
plugin|플러그인
attraction|매력
diving|다이빙
invite|초대하다
modification|수정
alice|앨리스
latinas|라틴계
suppose|가정하다
customized|맞춤형
reed|갈대
involve|포함하다
moderate|보통
terror|테러
younger|더 젊은
thirty|서른
mice|쥐
opposite|반대편
understood|이해했다
rapidly|빠르게
dealtime|딜타임
ban|금지하다
temp|온도
intro|소개
mercedes|메르세데스
zus|zus
assurance|보증
clerk|점원
happening|일어나는
vast|광대한
mills|밀스
outline|개요
amendments|수정안
tramadol|트라마돌
holland|네덜란드
receives|수신
jeans|청바지
metropolitan|대도시
compilation|편집
verification|확인
fonts|글꼴
ent|엔트
odd|이상한
wrap|감싸다
refers|참조
mood|기분
favor|호의
veterans|재향 군인
quiz|퀴즈
sigma|시그마
attractive|매력적인
occasion|기회
recordings|녹음
jefferson|제퍼슨
victim|피해자
demands|요구하다
sleeping|자고
careful|조심하다
ext|내선
beam|빔
gardening|원예
obligations|의무
arrive|도착하다
orchestra|오케스트라
sunset|일몰
tracked|추적됨
moreover|더욱이
minimal|최소한의
polyphonic|다성음악의
lottery|복권
tops|상의
framed|액자
aside|제쳐두고
outsourcing|아웃소싱
licence|라이센스
adjustable|조절 가능
allocation|할당
michelle|미셸
essay|에세이
discipline|규율
amy|에이미
demonstrated|시연
dialogue|대화
identifying|식별
alphabetical|알파벳순
camps|캠프
declared|선언하다
dispatched|파견됨
aaron|아론
handheld|휴대용
trace|추적
disposal|처분
shut|닫아
florists|꽃집
packs|팩
installing|설치
switches|스위치
romania|루마니아
voluntary|자발적인
ncaa|엔카
thou|너
consult|상담하다
greatly|크게
blogging|블로깅
mask|마스크
cycling|사이클링
midnight|자정
commonly|일반적으로
photographer|사진작가
inform|알리다
turkish|터키 사람
coal|석탄
cry|울다
messaging|메시징
pentium|펜티엄
quantum|양자
murray|머레이
intent|의도
zoo|동물원
largely|크게
pleasant|즐거운
announce|발표하다
constructed|건설된
additions|추가
requiring|요구하는
spoke|말했다
aka|일명
arrow|화살
engagement|약혼
sampling|샘플링
rough|거칠게
weird|이상한
tee|티
refinance|재융자
lion|사자
inspired|영감을 받은
holes|구멍
weddings|결혼식
blade|블레이드
suddenly|갑자기
oxygen|산소
cookie|쿠키
meals|식사
canyon|협곡
goto|고토
meters|미터
merely|단지
calendars|달력
arrangement|배열
conclusions|결론
passes|패스
bibliography|참고문헌
pointer|포인터
compatibility|호환성
stretch|스트레칭
durham|더럼
furthermore|게다가
permits|허가
cooperative|협동조합
muslim|무슬림
neil|닐
sleeve|소매
netscape|넷스케이프
cleaner|청소기
cricket|크리켓
beef|쇠고기
feeding|먹이주기
stroke|뇌졸중
township|타운십
rankings|순위
measuring|측정
cad|캐드
hats|모자
robin|로빈
robinson|로빈슨
jacksonville|잭슨빌
strap|스트랩
headquarters|본부
sharon|샤론
crowd|군중
transfers|환승
surf|서핑
olympic|올림픽
transformation|변형
remained|남아있다
attachments|첨부 파일
dir|디렉토리
entities|엔터티
customs|세관
administrators|관리자
personality|성격
rainbow|무지개
hook|후크
roulette|룰렛
decline|쇠퇴
gloves|장갑
israeli|이스라엘인
medicare|메디케어
cord|코드
skiing|스키
cloud|구름
facilitate|촉진하다
subscriber|가입자
valve|밸브
val|발
hewlett|휴렛
explains|설명하다
proceed|진행하다
flickr|플리커
feelings|감정
knife|칼
jamaica|자메이카
priorities|우선순위
shelf|선반
bookstore|서점
timing|타이밍
liked|좋아했다
parenting|육아
adopt|채택하다
denied|거부됨
fotos|사진
incredible|믿어지지 않는
britney|브리트니
freeware|프리웨어
donation|기부
outer|외부
crop|자르기
deaths|사망
rivers|강
commonwealth|연방
pharmaceutical|제약
manhattan|맨해튼
tales|이야기
katrina|카트리나
workforce|인력
islam|이슬람교
nodes|노드
thumbs|엄지손가락
seeds|씨앗
cited|인용
lite|라이트
hub|허브
targeted|표적이 된
organizational|조직적인
skype|스카이프
realized|깨달았다
twelve|열두
founder|창립자
decade|10년
gamecube|게임큐브
dispute|분쟁
portuguese|포르투갈어
tired|피곤하다
titten|가슴
adverse|불리한
everywhere|모든 곳에서
excerpt|발췌
eng|영어
steam|증기
discharge|퇴원
drinks|음료수
ace|에이스
voices|목소리
acute|급성
halloween|할로윈
climbing|등산
stood|서 있었다
sing|노래하다
tons|톤
perfume|향수
carol|캐롤
honest|정직한
albany|올버니
hazardous|위험한
restore|복원
stack|스택
methodology|방법론
somebody|누군가
sue|고소하다
housewares|가정용품
reputation|평판
resistant|저항하는
democrats|민주당
recycling|재활용
hang|끊다
curve|곡선
creator|창조자
amber|호박색
qualifications|자격
museums|박물관
coding|코딩
slideshow|슬라이드쇼
tracker|추적기
variation|변형
passage|통로
transferred|이전됨
trunk|트렁크
hiking|하이킹
pierre|피에르
jelsoft|젤소프트
headset|헤드셋
photograph|사진
oakland|오클랜드
colombia|콜롬비아
waves|파도
camel|낙타
distributor|배포자
lamps|램프
underlying|기본
hood|후드
wrestling|레슬링
suicide|자살
archived|보관된
photoshop|포토샵
chi|치
arabia|아라비아
gathering|모임
projection|투영
juice|주스
chase|추적
mathematical|수학적인
logical|논리적
sauce|소스
fame|명성
extract|추출물
specialized|전문화된
diagnostic|진단
panama|파나마
indianapolis|인디애나폴리스
payable|지불할
corporations|기업
courtesy|예의
criticism|비판
automobile|자동차
confidential|기밀
statutory|법정
accommodations|숙박시설
athens|아테네
northeast|북동쪽
downloaded|다운로드됨
judges|판사
seo|서재응
retired|은퇴하다
isp|isp
remarks|비고
detected|감지됨
decades|수십 년
paintings|그림
walked|걸었다
arising|발생하는
nissan|닛산
bracelet|팔찌
ins|인
eggs|계란
juvenile|청소년
injection|주입
yorkshire|요크셔
populations|인구
protective|보호적인
afraid|두려워
acoustic|음향
railway|철도
cassette|카세트
initially|처음에는
indicator|표시기
pointed|뾰족한
causing|일으키는
mistake|실수
norton|노턴
locked|잠긴
eliminate|제거하다
fusion|융합
mineral|광물
sunglasses|선글라스
ruby|루비
steering|스티어링
beads|구슬
fortune|행운
preference|선호
canvas|캔버스
threshold|문지방
parish|교구
claimed|주장하다
screens|스크린
cemetery|묘지
planner|기획자
croatia|크로아티아
flows|흐름
stadium|경기장
venezuela|베네수엘라
exploration|탐험
mins|분
fewer|더 적은
sequences|시퀀스
coupon|쿠폰
nurses|간호사
stem|줄기
proxy|프록시
astronomy|천문학
lanka|랑카
opt|선택하다
edwards|에드워즈
drew|그렸다
contests|콘테스트
flu|독감
translate|번역하다
announces|발표하다
costume|의상
tagged|태그됨
berkeley|버클리
voted|투표했다
killer|살인자
bikes|자전거
gates|게이트
adjusted|조정됨
rap|랩
tune|곡
bishop|주교
pulled|뽑아낸
corn|옥수수
shaped|모양의
compression|압축
seasonal|계절의
establishing|설립
farmer|농부
counters|카운터
puts|놓는다
constitutional|헌법상의
grew|성장했다
perfectly|완벽하게
tin|주석
slave|노예
instantly|즉시
cultures|문화
norfolk|노퍽
coaching|코칭
examined|검사를 받은
trek|여행
encoding|인코딩
litigation|소송
submissions|제출물
oem|OEM
heroes|영웅
painted|그린
lycos|라이코스
zdnet|zdnet
broadcasting|방송
horizontal|수평
artwork|삽화
cosmetic|화장품
resulted|결과
portrait|초상화
terrorist|테러리스트
informational|정보 제공
ethical|윤리적인
carriers|캐리어
ecommerce|전자상거래
mobility|이동성
floral|꽃무늬
builders|건축업자
ties|관계
struggle|투쟁
schemes|계획
suffering|괴로움
neutral|중립
fisher|어부
rat|쥐
spears|창
prospective|장래의
bedding|침구
ultimately|궁극적으로
joining|합류하다
heading|제목
equally|똑같이
artificial|인공적인
bearing|베어링
spectacular|장관의
coordination|조정
connector|커넥터
brad|브래드
combo|콤보
seniors|노인
worlds|세계
guilty|유죄
affiliated|제휴
activation|활성화
naturally|자연스럽게
haven|안식처
tablet|태블릿
jury|배심원
dos|해야 할 일
tail|꼬리
subscribers|가입자
charm|매력
lawn|잔디밭
violent|폭력적인
mitsubishi|미쓰비시
underwear|속옷
basin|분지
soup|수프
potentially|잠재적으로
ranch|목장
constraints|제약
crossing|횡단
inclusive|포함하는
dimensional|차원
cottage|별장
drunk|취한
considerable|상당한
crimes|범죄
resolved|해결됨
mozilla|모질라
byte|바이트
toner|토너
nose|코
latex|라텍스
branches|가지
anymore|더 이상
oclc|oclc
delhi|델리
holdings|보유
alien|외계인
locator|로케이터
selecting|선택
processors|프로세서
pantyhose|팬티스타킹
broke|파산
nepal|네팔
zimbabwe|짐바브웨
difficulties|어려움
juan|후안
complexity|복잡성
constantly|끊임없이
browsing|브라우징
resolve|해결하다
barcelona|바르셀로나
presidential|대통령
documentary|다큐멘터리
cod|대구
territories|영토
melissa|멜리사
moscow|모스크바
thesis|논문
thru|통해
jews|유대인
nylon|나일론
palestinian|팔레스타인 사람
discs|디스크
rocky|바위 같은
bargains|할인
frequent|자주
trim|트림
nigeria|나이지리아
ceiling|천장
pixels|픽셀
ensuring|보장
hispanic|히스패닉
legislature|입법부
hospitality|환대
gen|세대
anybody|누구든지
procurement|조달
diamonds|다이아몬드
espn|ESPN
fleet|함대
untitled|제목 없음
bunch|무리
totals|합계
marriott|메리어트
singing|노래하는
theoretical|이론적
afford|여유가 있다
exercises|운동
starring|주연
referral|추천
surveillance|감시
optimal|최적의
quit|그만두다
distinct|별개의
protocols|프로토콜
lung|폐
highlight|하이라이트
substitute|대체하다
inclusion|포함
hopefully|바라건대
brilliant|빛나는
turner|터너
sucking|빨아들이는
cents|센트
reuters|로이터
gel|젤
todd|토드
spoken|말한
omega|오메가
evaluated|평가됨
stayed|머물렀다
civic|시민
assignments|과제
manuals|매뉴얼
doug|더그
sees|본다
termination|해고
watched|시청했다
saver|보호기
thereof|그것의
grill|그릴
households|가구
redeem|구속하다
rogers|로저스
grain|곡물
aaa|아아아
authentic|본격적인
regime|정권
wanna|싶어
wishes|소원
bull|황소
montgomery|몽고메리
architectural|건축
louisville|루이빌
depend|의존하다
differ|다르다
macintosh|매킨토시
movements|움직임
ranging|범위
monica|모니카
repairs|수리
breath|숨
amenities|편의 시설
virtually|사실상
cole|콜
mart|마트
candle|양초
hanging|교수형
colored|색깔의
authorization|승인
tale|이야기
verified|검증됨
lynn|린
formerly|이전에
projector|프로젝터
situated|위치
comparative|비교
seeks|추구하다
herbal|약초
loving|사랑하는
strictly|엄격하게
routing|라우팅
docs|문서
stanley|스탠리
psychological|심리적
surprised|놀란
retailer|소매점
vitamins|비타민
elegant|우아한
gains|이득
renewal|갱신
vid|영상
genealogy|족보
opposed|반대하다
deemed|간주
scoring|득점
expenditure|지출
brooklyn|브루클린
liverpool|리버풀
sisters|자매
critics|비평가
connectivity|연결성
spots|반점
algorithms|알고리즘
hacker|해커
madrid|마드리드
similarly|마찬가지로
margin|여백
coin|동전
solely|오로지
fake|가짜
salon|살롱
collaborative|협력적인
norman|노먼
fda|FDA
excluding|제외
turbo|터보
